"route","stop_order","stop","lat","lon","geocode_status","display_name"
"82","1","احمد حلمى","30.0779877","31.2553841","matched","شارع احمد حلمي, الترعه البولاقيه, الظاهر, القاهرة, 11627, مصر"
"82","2","قللى","","","not_found",""
"82","3","رمسيس","30.0616901","31.2470284","matched","رمسيس, شارع الجلاء, الفجاله, الأزبكية, القاهرة, 11669, مصر"
"82","4","غمرة","30.0689640","31.2646738","matched","الغمرة, محور روكسى رمسيس, مهمشه, الدمرداش, القاهرة, 11657, مصر"
"82","5","دمرداش","30.0650382","31.2992074","matched","الدمرداش, القاهرة, 11153, مصر"
"82","6","عباسية","30.0712082","31.2763653","matched","عباسية, القاهرة, 11517, مصر"
"82","7","صلاح سالم","30.0751441","31.3062444","matched","صلاح سالم, منشية البكرى, الدمرداش, القاهرة, مصر"
"82","8","شارع الطيران","30.0385988","31.3314522","matched","شارع الطيران, الحى 6, مدينة نصر, القاهرة, 11717, مصر"
"82","9","خضر التونى","30.0767049","31.3243388","matched","شارع خضر التونى, الجولف, مدينة نصر, القاهرة, 11759, مصر"
"82","10","رابعة العدوية","30.0689548","31.3220029","matched","رابعة العدوية, مدينة نصر, القاهرة, 11759, مصر"
"82","11","اول عباس","31.2665895","32.3103400","matched","شارع الشهيد ملازم اول طيار ابراهيم عباس الصياد, ابراهيم حسنين, بورسعيد, 42529, مصر"
"82","12","سيتى ستارز","30.0732681","31.3458693","matched","سيتى ستارز مول, امتداد شارع مكرم عبيد, مساكن المهندسين, مدينة نصر, القاهرة, 11834, مصر"
"82","13","مكرم عبيد","30.0683421","31.3446867","matched","سيتي سنتر مكرم عبيد, شارع مكرم عبيد, المنطقة السادسة, مدينة نصر, القاهرة, 11391, مصر"
"82","14","تقاطع م النحاس","","","not_found",""
"82","15","السراج مول","30.0508218","31.3494843","matched","السراج مول, 5, شارع عطيه الصوالحى, المنطقة الثامنة, مدينة نصر, القاهرة, 11765, مصر"
"82","16","الوفاء والامل","30.0241896","31.3453409","matched","الوفاء والامل, مدينة نصر, القاهرة, مصر"
"82","17","جامع السلام","29.8944980","31.2606774","matched","جامع السلام, 1, شارع مسجد السلام, الحوامدية, الجيزة, 12916, مصر"
"82","18","سوق السيارات","30.0468875","31.3649120","matched","سوق السيارات, محور شينزو ابى, مساكن السويسرى أ, مدينة نصر, القاهرة, 11762, مصر"
"82","19","بوابات","","","not_found",""
"82","20","الحى العاشر","30.0481855","31.3650125","matched","برج ماء الحى العاشر, شارع السد العالى, مدينة نصر, القاهرة, 11528, مصر"
"82","21","زهراء مدينة نصر","30.0476690","31.3899628","matched","زهراء مدينة نصر, مدينة نصر, القاهرة, 11528, مصر"
"82","22","التجمع الاول","30.0632671","31.4544799","matched","التجمع الأول, القاهرة, 11865, مصر"
"80","1","مساكن أسكو","30.1502774","31.2772803","matched","مساكن اسكو, بهتيم, شبرا الخيمة, القليوبية, مصر"
"80","2","بهتيم","30.1389642","31.2655197","matched","بهتيم, شبرا الخيمة, القليوبية, 13752, مصر"
"80","3","شارع الجديد","30.1351507","31.3520735","matched","شارع الجديد, مساكن عين شمس, القاهرة, 11781, مصر"
"80","4","مسطرد","30.1382602","31.2962809","matched","مسطرد, شبرا الخيمة, القليوبية, 13753, مصر"
"80","5","المطرية","30.1213931","31.3139257","matched","المطرية, شارع ترعه الجبل, شجره مريم, عين شمس, القاهرة, 11718, مصر"
"80","6","الحلمية","30.1125623","31.3342801","matched","الحلمية, القاهرة, 18511, مصر"
"80","7","التجنيد","30.1063333","31.3241048","matched","كوبري التجنيد, الزيتون البحريه, حدائق الزيتون, القاهرة, 11849, مصر"
"80","8","محكمة","30.0243306","31.2426592","matched","محكمة جنوب القاهرة الإبتدائية, شارع الشيخ, زينهم, السيدة زينب, القاهرة, 11797, مصر"
"80","9","روكسى","30.0934241","31.3156978","matched","روكسي, شارع الحجاز, قسم مصر الجديدة, مصر الجديدة, القاهرة, 11757, مصر"
"80","10","الخليفة المأمون","","","not_found",""
"80","11","كوبرى القبة","30.0833009","31.3000582","matched","كوبري القبة, القاهرة, 11712, مصر"
"80","12","جامعة عين شمس","30.0754657","31.2904114","matched","جامعة عين شمس, كوبرى 6 أكتوبر, الحدائق, السكاكيني, القاهرة, 11657, مصر"
"80","13","عباسية","30.0712082","31.2763653","matched","عباسية, القاهرة, 11517, مصر"
"80","14","ميدان الجيش","30.0619512","31.2681700","matched","ميدان الجيش, الكردى, السكاكينى, القاهرة, 11551, مصر"
"80","15","م عبده باشا","","","not_found",""
"80","16","م سيد جلال","","","not_found",""
"80","17","باب الشعرية","30.0537108","31.2558750","matched","باب الشعرية, شارع الجيش, الشيخ ندا درب مصطفى, باب الشعرية, القاهرة, 11668, مصر"
"80","18","البهناوى","","","not_found",""
"80","19","مستشفى الحسين","28.1011077","30.7545085","matched","مستشفي بالمنيا, شارع الحسين, سيد جلال, المنيا, 61512, مصر"
"80","20","الدراسة","30.0528737","31.2748995","matched","مرور الدراسة, شارع اداره المرور, المنصوريه, الجمالية, القاهرة, 11695, مصر"
"259","1","مساكن أسكو","30.1502774","31.2772803","matched","مساكن اسكو, بهتيم, شبرا الخيمة, القليوبية, مصر"
"259","2","بهتيم","30.1389642","31.2655197","matched","بهتيم, شبرا الخيمة, القليوبية, 13752, مصر"
"259","3","شارع الجديد","30.1351507","31.3520735","matched","شارع الجديد, مساكن عين شمس, القاهرة, 11781, مصر"
"259","4","مسطرد","30.1382602","31.2962809","matched","مسطرد, شبرا الخيمة, القليوبية, 13753, مصر"
"259","5","المطرية","30.1213931","31.3139257","matched","المطرية, شارع ترعه الجبل, شجره مريم, عين شمس, القاهرة, 11718, مصر"
"259","6","الحلمية","30.1125623","31.3342801","matched","الحلمية, القاهرة, 18511, مصر"
"259","7","التجنيد","30.1063333","31.3241048","matched","كوبري التجنيد, الزيتون البحريه, حدائق الزيتون, القاهرة, 11849, مصر"
"259","8","المحكمة","29.9687916","31.2396683","matched","المحكمة الدستورية, شارع كورنيش النيل, طره الاسمنت, المعادى, طرة, القاهرة, 11917, مصر"
